-140.0000000,42.1112493
-139.8598599,43.4674976
-139.7197197,44.9172889
-139.5795796,46.4706360
-139.4394394,48.1390331
-139.2992993,49.9357415
-139.1591592,51.8761414
-139.0190190,53.9781739
-138.8788789,56.2628967
-138.7387387,58.7551911
-138.5985986,61.4846722
-138.4584585,64.4868696
-138.3183183,67.8047827
-138.1781782,71.4909519
-138.0380380,75.6102606
-137.8978979,80.2437857
-137.7577578,85.4941862
-137.6176176,91.4933961
-137.4774775,98.4138604
-137.3373373,106.4853778
-137.1971972,116.0211064
-137.0570571,127.4591320
-136.9169169,141.4316661
-136.7767768,158.8859677
-136.6366366,181.3085178
-136.4964965,211.1723684
-136.3563564,252.9184411
-136.2162162,315.3989573
-136.0760761,419.1643608
-135.9359359,625.3213070
-135.7957958,1233.0094361
-135.6556557,47088.8461476
-135.5155155,-1298.3901826
-135.3753754,-639.6972843
-135.2352352,-424.1010568
-135.0950951,-317.0323381
-134.9549550,-253.0229223
-134.8148148,-210.4463411
-134.6746747,-180.0817106
-134.5345345,-157.3341207
-134.3943944,-139.6569568
-134.2542543,-125.5249934
-134.1141141,-113.9689904
-133.9739740,-104.3435121
-133.8338338,-96.2021301
-133.6936937,-89.2262116
-133.5535536,-83.1822455
-133.4134134,-77.8951963
-133.2732733,-73.2312786
-133.1331331,-69.0864816
-132.9929930,-65.3787223
-132.8528529,-62.0423567
-132.7127127,-59.0242601
-132.5725726,-56.2809788
-132.4324324,-53.7766252
-132.2922923,-51.4812995
-132.1521522,-49.3698910
-132.0120120,-47.4211564
-131.8718719,-45.6170025
-131.7317317,-43.9419234
-131.5915916,-42.3825538
-131.4514515,-40.9273122
-131.3113113,-39.5661128
-131.1711712,-38.2901314
-131.0310310,-37.0916145
-130.8908909,-35.9637212
-130.7507508,-34.9003933
-130.6106106,-33.8962462
-130.4704705,-32.9464777
-130.3303303,-32.0467915
-130.1901902,-31.1933324
-130.0500501,-30.3826307
-129.9099099,-29.6115557
-129.7697698,-28.8772749
-129.6296296,-28.1772195
-129.4894895,-27.5090544
-129.3493493,-26.8706521
-129.2092092,-26.2600702
-129.0690691,-25.6755320
-128.9289289,-25.1154084
-128.7887888,-24.5782040
-128.6486486,-24.0625425
-128.5085085,-23.5671560
-128.3683684,-23.0908740
-128.2282282,-22.6326144
-128.0880881,-22.1913755
-127.9479479,-21.7662281
-127.8078078,-21.3563098
-127.6676677,-20.9608185
-127.5275275,-20.5790074
-127.3873874,-20.2101807
-127.2472472,-19.8536886
-127.1071071,-19.5089242
-126.9669670,-19.1753195
-126.8268268,-18.8523430
-126.6866867,-18.5394960
